Campaign performance
"June 1, 2024 - December 5, 2024"
Campaign,Campaign state,Campaign type,Day,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
Nike Shopping,Enabled,Performance Max,2024-09-21,56,"1,261",4.44%,MAD,0.21,11.99,0,0,1.00,0,11.99,1.56%
Nike Shopping,Enabled,Performance Max,2024-09-22,45,837,5.38%,MAD,0.17,7.67,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-09-23,122,"1,601",7.62%,MAD,0.15,18.34,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-09-24,50,532,9.40%,MAD,0.87,43.70,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-09-25,47,563,8.35%,MAD,0.90,42.24,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-09-26,45,490,9.18%,MAD,0.51,23.02,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-09-27,36,406,8.87%,MAD,0.45,16.13,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-09-28,51,448,11.38%,MAD,0.51,26.20,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-09-29,14,224,6.25%,MAD,0.49,6.79,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-09-30,19,281,6.76%,MAD,0.62,11.74,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-01,57,743,7.67%,MAD,1.36,77.76,0,0,1.00,0,77.76,1.72%
Nike Shopping,Enabled,Performance Max,2024-10-02,47,751,6.26%,MAD,1.06,50.01,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-03,51,798,6.39%,MAD,1.27,64.82,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-04,80,"1,146",6.98%,MAD,1.18,94.28,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-15,0,0,0,MAD,0,0.00,0,0,0.00,0,0,0
Nike Shopping,Enabled,Performance Max,2024-10-16,16,466,3.43%,MAD,1.33,21.30,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-17,39,832,4.69%,MAD,0.97,37.99,0,0,1.00,0,37.99,2.27%
Nike Shopping,Enabled,Performance Max,2024-10-18,191,"2,994",6.38%,MAD,0.29,56.22,0,0,0.99,0,56.57,0.49%
Nike Shopping,Enabled,Performance Max,2024-10-19,"1,092","16,544",6.60%,MAD,0.18,192.97,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-20,962,"14,047",6.85%,MAD,0.20,187.77,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-21,75,"1,291",5.81%,MAD,0.96,71.81,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-22,56,"1,340",4.18%,MAD,0.97,54.53,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-23,91,"1,926",4.72%,MAD,0.64,57.88,0,0,2.00,0,28.94,1.67%
Nike Shopping,Enabled,Performance Max,2024-10-24,99,"2,087",4.74%,MAD,0.95,94.09,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-25,119,"2,571",4.63%,MAD,1.16,137.74,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-26,114,"3,105",3.67%,MAD,0.83,95.08,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-27,138,"3,552",3.89%,MAD,1.22,168.92,0,0,1.00,0,168.92,0.59%
Nike Shopping,Enabled,Performance Max,2024-10-28,107,"3,382",3.16%,MAD,1.12,120.37,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-10-29,101,"2,586",3.91%,MAD,1.00,100.84,0,0,0.17,0,605.03,0.07%
Nike Shopping,Enabled,Performance Max,2024-10-30,94,"3,118",3.01%,MAD,0.77,72.62,0,0,1.67,0,43.57,0.64%
Nike Shopping,Enabled,Performance Max,2024-10-31,93,"2,731",3.41%,MAD,0.85,79.23,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-01,51,"2,248",2.27%,MAD,0.61,31.32,0,0,0.17,0,187.90,0.15%
Nike Shopping,Enabled,Performance Max,2024-11-02,45,"2,218",2.03%,MAD,1.34,60.29,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-03,84,"3,710",2.26%,MAD,1.06,89.22,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-04,103,"4,080",2.52%,MAD,0.90,92.50,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-05,113,"4,075",2.77%,MAD,0.73,82.68,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-06,90,"3,613",2.49%,MAD,1.39,124.87,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-07,83,"3,155",2.63%,MAD,1.09,90.57,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-08,71,"2,726",2.60%,MAD,1.05,74.32,0,0,1.00,0,74.32,0.63%
Nike Shopping,Enabled,Performance Max,2024-11-09,76,"2,492",3.05%,MAD,1.13,86.04,0,0,1.00,0,86.04,0.58%
Nike Shopping,Enabled,Performance Max,2024-11-10,66,"2,384",2.77%,MAD,2.13,140.81,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-11,46,"1,999",2.30%,MAD,2.45,112.60,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-12,56,"2,222",2.52%,MAD,2.53,141.65,0,0,1.00,0,141.65,0.36%
Nike Shopping,Enabled,Performance Max,2024-11-13,47,"1,904",2.47%,MAD,2.47,115.97,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-14,58,"1,537",3.77%,MAD,1.87,108.66,0,0,2.00,0,54.33,1.34%
Nike Shopping,Enabled,Performance Max,2024-11-15,41,"1,345",3.05%,MAD,1.78,73.01,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-16,46,"1,332",3.45%,MAD,1.15,53.04,0,0,1.00,0,53.04,1.39%
Nike Shopping,Enabled,Performance Max,2024-11-17,35,"1,213",2.89%,MAD,2.26,79.01,0,0,1.00,0,79.01,1.06%
Nike Shopping,Enabled,Performance Max,2024-11-18,51,"1,454",3.51%,MAD,0.97,49.63,0,0,1.00,0,49.63,0.84%
Nike Shopping,Enabled,Performance Max,2024-11-19,60,"1,784",3.36%,MAD,1.08,64.78,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-20,90,"2,277",3.95%,MAD,0.64,57.48,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-21,341,"5,819",5.86%,MAD,0.43,147.20,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-22,285,"4,117",6.92%,MAD,0.60,172.41,0,0,1.00,0,172.41,0.09%
Nike Shopping,Enabled,Performance Max,2024-11-23,52,"1,728",3.01%,MAD,1.62,84.34,0,0,1.00,0,84.34,0.65%
Nike Shopping,Enabled,Performance Max,2024-11-24,77,"2,248",3.43%,MAD,1.44,111.03,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-25,76,"2,702",2.81%,MAD,2.59,196.99,0,0,1.00,0,196.66,0.68%
Nike Shopping,Enabled,Performance Max,2024-11-26,107,"3,577",2.99%,MAD,1.79,192.02,0,0,1.00,0,192.02,0.53%
Nike Shopping,Enabled,Performance Max,2024-11-27,99,"2,694",3.67%,MAD,1.38,136.36,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-11-28,62,"2,444",2.54%,MAD,1.69,104.61,0,0,2.00,0,52.30,1.17%
Nike Shopping,Enabled,Performance Max,2024-11-29,77,"3,048",2.53%,MAD,1.34,102.95,0,0,1.00,0,102.95,0.44%
Nike Shopping,Enabled,Performance Max,2024-11-30,67,"2,766",2.42%,MAD,0.97,64.81,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-12-01,80,"3,800",2.11%,MAD,1.51,120.50,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-12-02,106,"4,538",2.34%,MAD,1.02,108.18,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-12-03,81,"3,982",2.03%,MAD,0.72,58.01,0,0,1.00,0,58.01,1.09%
Nike Shopping,Enabled,Performance Max,2024-12-04,155,"6,865",2.26%,MAD,0.73,113.04,0,0,0.00,0,0,0.00%
Nike Shopping,Enabled,Performance Max,2024-12-05,108,"4,769",2.26%,MAD,0.98,105.31,0,0,1.96,0,53.71,1.75%
Shopping Performance H2,Paused,Performance Max,2024-08-26,0,2,0.00%,MAD,0,0.00,0,0,0.00,0,0,0
Shopping Performance H2,Paused,Performance Max,2024-08-27,695,"13,868",5.01%,MAD,0.18,124.90,0,0,2.00,0,62.45,0.04%
Shopping Performance H2,Paused,Performance Max,2024-08-28,"2,013","28,830",6.98%,MAD,0.09,188.29,0,0,5.00,0,37.66,0.14%
Shopping Performance H2,Paused,Performance Max,2024-08-29,982,"12,529",7.84%,MAD,0.10,96.77,0,0,5.00,0,19.35,0.45%
Shopping Performance H2,Paused,Performance Max,2024-08-30,992,"10,338",9.60%,MAD,0.08,76.72,0,0,20.00,0,3.84,1.96%
Shopping Performance H2,Paused,Performance Max,2024-08-31,828,"13,460",6.15%,MAD,0.14,112.75,0,0,43.00,0,2.62,5.05%
Shopping Performance H2,Paused,Performance Max,2024-09-01,917,"16,396",5.59%,MAD,0.13,121.09,0,0,37.00,0,3.27,4.02%
Shopping Performance H2,Paused,Performance Max,2024-09-02,736,"11,555",6.37%,MAD,0.15,108.57,0,0,23.00,0,4.72,3.12%
Shopping Performance H2,Paused,Performance Max,2024-09-03,716,"11,201",6.39%,MAD,0.12,82.69,0,0,24.00,0,3.45,3.35%
Shopping Performance H2,Paused,Performance Max,2024-09-04,944,"15,460",6.11%,MAD,0.09,85.10,0,0,26.65,0,3.19,2.81%
Shopping Performance H2,Paused,Performance Max,2024-09-05,"1,101","17,888",6.15%,MAD,0.11,124.03,0,0,42.64,0,2.91,3.83%
Shopping Performance H2,Paused,Performance Max,2024-09-06,"1,306","22,092",5.91%,MAD,0.15,197.52,0,0,65.61,0,3.01,4.91%
Shopping Performance H2,Paused,Performance Max,2024-09-07,390,"6,981",5.59%,MAD,0.43,166.77,0,0,21.61,0,7.72,5.34%
Shopping Performance H2,Paused,Performance Max,2024-09-08,607,"10,492",5.79%,MAD,0.26,157.62,0,0,20.27,0,7.78,3.27%
Shopping Performance H2,Paused,Performance Max,2024-09-09,122,"2,904",4.20%,MAD,0.62,75.25,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-10,126,"2,875",4.38%,MAD,1.37,173.17,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-11,102,"2,607",3.91%,MAD,2.14,218.20,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-12,63,"1,331",4.73%,MAD,2.62,165.00,0,0,1.00,0,165.00,0.85%
Shopping Performance H2,Paused,Performance Max,2024-09-13,66,"1,078",6.12%,MAD,3.35,221.20,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-14,88,"2,428",3.62%,MAD,1.84,161.56,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-15,95,"1,909",4.98%,MAD,1.83,173.77,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-16,103,"2,398",4.30%,MAD,1.68,172.99,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-17,77,910,8.46%,MAD,1.07,82.06,0,0,2.00,0,41.03,2.38%
Shopping Performance H2,Paused,Performance Max,2024-09-18,145,"1,484",9.77%,MAD,1.22,177.01,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-19,174,"2,030",8.57%,MAD,0.64,111.02,0,0,1.00,0,111.02,0.46%
Shopping Performance H2,Paused,Performance Max,2024-09-20,130,"2,054",6.33%,MAD,1.49,193.10,0,0,1.00,0,193.10,0.58%
Shopping Performance H2,Paused,Performance Max,2024-09-21,123,"1,297",9.48%,MAD,1.34,164.41,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-22,148,"1,426",10.38%,MAD,1.11,164.02,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-23,147,"1,348",10.91%,MAD,1.10,161.87,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-24,116,"1,006",11.53%,MAD,1.38,160.54,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-25,172,"1,573",10.93%,MAD,0.77,131.60,0,0,1.00,0,131.60,0.57%
Shopping Performance H2,Paused,Performance Max,2024-09-26,208,"1,183",17.58%,MAD,0.72,149.78,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-27,169,"1,025",16.49%,MAD,0.91,153.12,0,0,1.00,0,153.12,0.59%
Shopping Performance H2,Paused,Performance Max,2024-09-28,100,903,11.07%,MAD,1.18,118.02,0,0,1.50,0,78.68,1.49%
Shopping Performance H2,Paused,Performance Max,2024-09-29,75,"1,080",6.94%,MAD,1.22,91.60,0,0,0.00,0,0,0.00%
Shopping Performance H2,Paused,Performance Max,2024-09-30,157,"1,311",11.98%,MAD,1.26,197.78,0,0,1.00,0,197.78,0.64%
Shopping Performance July 2024,Paused,Performance Max,2024-07-19,0,8,0.00%,MAD,0,0.00,0,0,0.00,0,0,0
Shopping Performance July 2024,Paused,Performance Max,2024-07-20,0,37,0.00%,MAD,0,0.00,0,0,0.00,0,0,0
Shopping Performance July 2024,Paused,Performance Max,2024-07-21,160,"1,329",12.04%,MAD,0.02,3.48,0,0,0.00,0,0,0.00%
Shopping Performance July 2024,Paused,Performance Max,2024-07-22,72,558,12.90%,MAD,0.02,1.24,0,0,0.00,0,0,0.00%
Shopping Performance July 2024,Paused,Performance Max,2024-07-23,"2,025","18,094",11.19%,MAD,0.02,41.19,0,0,2.02,0,20.42,0.10%
Shopping Performance July 2024,Paused,Performance Max,2024-07-24,"4,759","55,236",8.62%,MAD,0.04,198.79,0,0,2.00,0,99.40,0.04%
Shopping Performance July 2024,Paused,Performance Max,2024-07-25,"3,318","56,434",5.88%,MAD,0.06,194.13,0,0,2.00,0,97.06,0.06%
Shopping Performance July 2024,Paused,Performance Max,2024-07-26,"7,495","77,569",9.66%,MAD,0.03,194.53,0,0,6.00,0,32.42,0.08%
Shopping Performance July 2024,Paused,Performance Max,2024-07-27,"8,926","83,018",10.75%,MAD,0.02,198.03,0,0,0.00,0,0,0.00%
Shopping Performance July 2024,Paused,Performance Max,2024-07-28,"7,300","68,783",10.61%,MAD,0.03,190.65,0,0,4.00,0,47.66,0.05%
Shopping Performance July 2024,Paused,Performance Max,2024-07-29,"4,082","40,470",10.09%,MAD,0.02,86.67,0,0,3.00,0,28.89,0.07%
Shopping Performance July 2024,Paused,Performance Max,2024-07-30,204,"5,089",4.01%,MAD,0.09,17.51,0,0,0.00,0,0,0.00%
Shopping Performance July 2024,Paused,Performance Max,2024-07-31,541,"8,744",6.19%,MAD,0.11,60.69,0,0,2.00,0,30.35,0.35%
Shopping Performance July 2024,Paused,Performance Max,2024-08-01,918,"15,281",6.01%,MAD,0.12,109.15,0,0,8.00,0,13.64,0.84%
Shopping Performance July 2024,Paused,Performance Max,2024-08-02,"1,206","18,984",6.35%,MAD,0.09,112.25,0,0,9.00,0,12.47,0.72%
Shopping Performance July 2024,Paused,Performance Max,2024-08-03,879,"15,289",5.75%,MAD,0.13,114.39,0,0,22.00,0,5.20,2.48%
Shopping Performance July 2024,Paused,Performance Max,2024-08-04,445,"8,384",5.31%,MAD,0.26,116.20,0,0,12.00,0,9.68,2.70%
Shopping Performance July 2024,Paused,Performance Max,2024-08-05,459,"7,510",6.11%,MAD,0.21,97.75,0,0,13.00,0,7.52,2.83%
Shopping Performance July 2024,Paused,Performance Max,2024-08-06,454,"7,119",6.38%,MAD,0.25,115.14,0,0,18.00,0,6.40,3.96%
Shopping Performance July 2024,Paused,Performance Max,2024-08-07,582,"9,799",5.94%,MAD,0.18,103.30,0,0,21.00,0,4.92,3.61%
Shopping Performance July 2024,Paused,Performance Max,2024-08-08,709,"10,818",6.55%,MAD,0.14,102.09,0,0,30.00,0,3.40,4.23%
Shopping Performance July 2024,Paused,Performance Max,2024-08-09,"1,083","16,656",6.50%,MAD,0.08,88.33,0,0,39.00,0,2.26,3.60%
Shopping Performance July 2024,Paused,Performance Max,2024-08-10,"1,115","17,482",6.38%,MAD,0.09,97.75,0,0,43.00,0,2.27,3.86%
Shopping Performance July 2024,Paused,Performance Max,2024-08-11,838,"12,582",6.66%,MAD,0.12,100.66,0,0,59.00,0,1.71,7.04%
Shopping Performance July 2024,Paused,Performance Max,2024-08-12,448,"6,716",6.67%,MAD,0.09,41.36,0,0,18.00,0,2.30,4.02%
Shopping Performance July 2024,Paused,Performance Max,2024-08-13,854,"14,221",6.01%,MAD,0.13,112.34,0,0,26.00,0,4.32,3.04%
Shopping Performance July 2024,Paused,Performance Max,2024-08-14,544,"10,877",5.00%,MAD,0.20,109.84,0,0,21.00,0,5.23,3.86%
Shopping Performance July 2024,Paused,Performance Max,2024-08-15,604,"8,579",7.04%,MAD,0.10,59.34,0,0,16.00,0,3.71,2.65%
Shopping Performance July 2024,Paused,Performance Max,2024-08-16,"1,030","18,241",5.65%,MAD,0.13,133.79,0,0,37.00,0,3.62,3.59%
Shopping Performance July 2024,Paused,Performance Max,2024-08-17,"1,055","17,499",6.03%,MAD,0.11,114.77,0,0,42.00,0,2.73,3.98%
Shopping Performance July 2024,Paused,Performance Max,2024-08-18,669,"10,576",6.33%,MAD,0.09,63.09,0,0,31.00,0,2.04,4.63%
Shopping Performance July 2024,Paused,Performance Max,2024-08-19,983,"20,261",4.85%,MAD,0.13,124.35,0,0,43.00,0,2.89,4.37%
