DocEntry,DocNum,CreationDate,CardCode,CardName,DocCurrency,DocRate,NumAtCard,Reference1,Comments,JournalMemo,ItemCode,ItemDescription,ShipDate,Quantity,Price,PriceAfterVAT,Currency,WarehouseCode,Rate,BarCode,GrossPrice,GrossTotal,RRP,Article,JumiaSKU,FOC,UnitsOfMeasurment,source,foldername,filename,created_at,id
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/5,CLASSIC LEATHER SP EXTRA,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037102,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,7d5a5363-eaee-4020-870d-11d6d03ec399
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/5,CLASSIC LEATHER SP EXTRA,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037102,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,eccb5740-7156-4078-bded-9253c8a15273
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/5-,CLASSIC LEATHER SP EXTRA,2024-09-01,5.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037133,36.5238,1811.5805,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,922f2372-df4a-4ba4-b572-f52529d71289
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/6,CLASSIC LEATHER SP EXTRA,2024-09-01,5.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037164,36.5238,1811.5805,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,6066b224-1166-4270-90c4-5b640290bdd2
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/6-,CLASSIC LEATHER SP EXTRA,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037195,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,b2cff134-cb81-4d83-ba78-af3b1cfbd516
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/7,CLASSIC LEATHER SP EXTRA,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037225,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,1a91c58e-b0a4-4353-b188-f6c178b1e133
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074377/7,CLASSIC LEATHER SP EXTRA,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143037225,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,17c74629-d2e3-4f26-8939-4b22ce620069
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/7-US,CLASSIC LEATHER HEXALITE,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043424,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,262409dd-96cd-4261-b3e7-f2ec90beb557
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/8US,CLASSIC LEATHER HEXALITE,2024-09-01,3.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043455,36.5238,1086.9483,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,890703eb-3c67-45c5-8dfa-8a8db4e7b9c1
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/8-US,CLASSIC LEATHER HEXALITE,2024-09-01,5.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043486,36.5238,1811.5805,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195702.json,2024-11-30,31e586e4-66fb-4751-9055-218cdea559cc
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/9US,CLASSIC LEATHER HEXALITE,2024-09-01,7.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043516,36.5238,2536.2127,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,58f8bc05-7b4f-4094-b563-1d1123bf4ad2
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/9US,CLASSIC LEATHER HEXALITE,2024-09-01,5.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043516,36.5238,1811.5805,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,58815e73-ca35-44e4-af79-35c0b63f2587
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/9-US,CLASSIC LEATHER HEXALITE,2024-09-01,7.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043547,36.5238,2536.2127,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,f87d0ea1-e3e2-4d7a-a635-4b8290c8d3d3
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/9-US,CLASSIC LEATHER HEXALITE,2024-09-01,5.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043547,36.5238,1811.5805,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,6db9e8d4-956b-4d70-b315-9ec5c63780bc
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/10US,CLASSIC LEATHER HEXALITE,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043578,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,8a1d4ae2-3496-4e85-b6b4-08737ebd520c
